claim,page_reference,evidence_tier,source_citation,source_url_or_doi,notes
Automation bias is well-established: decision makers favor automated suggestions over contradictory human information even when the automated advice is incorrect,docs/03-construct-audit.md,Strong,"Mosier, K. L., & Skitka, L. J. (1996). Human decision makers and automated decision aids: Made for each other? In Automation and Human Performance, pp. 201-220.",https://doi.org/10.1201/b12447-11,Foundational literature identifying errors of omission and commission across aviation and healthcare.
Automation bias manifests through errors of omission (failing to notice an automated aid missed a hazard) and errors of commission (following a wrong automated recommendation over contradictory evidence),docs/03-construct-audit.md,Strong,"Mosier, K. L., & Skitka, L. J. (1996). Human decision makers and automated decision aids: Made for each other? In Automation and Human Performance, pp. 201-220.",https://doi.org/10.1201/b12447-11,Core empirical taxonomy of automation failure modes.
Automating the decision-selection stage of human-automation interaction produces the greatest degree of operator complacency and cognitive disengagement,docs/03-construct-audit.md,Strong,"Parasuraman, R., Sheridan, T. B., & Wickens, C. D. (2000). A model for types and levels of human interaction with automation. IEEE Transactions on Systems, Man, and Cybernetics - Part A, 30(3), 286-297.",https://doi.org/10.1109/3468.844354,"Empirical synthesis of 4 automation stages: acquisition, analysis, selection, action."
"Calibrated trust occurs when subjective confidence matches actual system capability; overtrust produces misuse, undertrust produces disuse",docs/01-definition.md; docs/03-construct-audit.md,Strong,"Lee, J. D., & See, K. A. (2004). Trust in automation: Designing for appropriate reliance. Human Factors, 46(1), 50-80.",https://doi.org/10.1518/hfes.46.1.50_30392,Definitional framework for trust calibration and behavioral reliance.
Automation bias manifests across modern AI-driven enterprise work environments in 35 peer-reviewed studies (2015-2025),docs/03-construct-audit.md,Preliminary,"Systematic PRISMA review (2025). Automation bias in modern AI-driven work environments (35 studies, 2015-2025). AI & Society.",https://doi.org/10.1007/s00146-024-02100-x,"Synthesizes modern cognitive psychology, human factors, and HCI across recent enterprise AI deployments."
Adding AI explanations does not consistently reduce user over-reliance and can increase over-reliance on incorrect recommendations,docs/03-construct-audit.md,Strong,"Bansal, G., Wu, T. S., Zhou, J., Fok, R., Nushi, B., Kamar, E., Ribeiro, M. T., & Weld, D. (2021). Does the whole exceed its parts? The effect of AI explanations on complementary team performance. CHI '21, Article 81, 1-16.",https://doi.org/10.1145/3411764.3445717,Empirical demonstration that local feature-importance explanations can induce an illusion of system competence.
Cognitive forcing functions compel active judgment before AI recommendations are revealed and significantly reduce over-reliance compared to explanation-only interfaces,docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Bucinca, Z., Malaya, M. B., & Gajos, K. Z. (2021). To trust or to think: Cognitive forcing functions can reduce overreliance on AI in AI-assisted decision-making. Proc. ACM Hum.-Comput. Interact., 5(CSCW1), Article 188, 1-21.",https://doi.org/10.1145/3449287,Evaluated multiple interaction designs; forced independent deliberation consistently mitigated automation bias.
The reduction in AI over-reliance achieved by cognitive forcing functions is significantly moderated by an individual's Need for Cognition (NFC),docs/03-construct-audit.md; docs/05-measurement-and-experiments.md,Strong,"Bucinca, Z., Malaya, M. B., & Gajos, K. Z. (2021). To trust or to think: Cognitive forcing functions can reduce overreliance on AI in AI-assisted decision-making. Proc. ACM Hum.-Comput. Interact., 5(CSCW1), Article 188, 1-21.",https://doi.org/10.1145/3449287,Participants with higher intrinsic motivation for cognitive effort benefited more from forced deliberation.
Cognitive offloading is well-documented in human memory and spatial navigation (transactive memory with search engines and GPS),docs/index.md; docs/03-construct-audit.md,Strong,"Risko, E. F., & Gilbert, S. J. (2016). Cognitive offloading. Trends in Cognitive Sciences, 20(9), 676-688.",https://doi.org/10.1016/j.tics.2016.07.002,Foundational cognitive review of external artifact utilization to reduce working memory load.
Longitudinal cognitive deskilling and loss of analytical capability from prolonged generative AI usage occurs at scale,docs/03-construct-audit.md; docs/08-roadmap.md,[UNVERIFIED — NEEDS SOURCE],[UNVERIFIED — NEEDS SOURCE],N/A (No verifiable longitudinal empirical study available),"Theoretically plausible extension of offloading research, but lacks high-quality longitudinal empirical evidence; classified as an open research gap."
